product_code,nombre,descripcion
CIP-0815,POETT DES. AMB AEROSOL 360CC - FLORES EN PRIMAVERA,"Aromatizante de ambientes POETT DES. AMB AEROSOL 360CC - FLORES EN PRIMAVERA, marca Poett, 360 cc."
CIP-0816,POETT DES. AMB AEROSOL 360CC - LAVANDA,"Aromatizante de ambientes POETT DES. AMB AEROSOL 360CC - LAVANDA, marca Poett, 360 cc."
CIP-0817,POETT DES. AMB AEROSOL 360CC - MUSICA EN PRIMAVERA,"Aromatizante de ambientes POETT DES. AMB AEROSOL 360CC - MUSICA EN PRIMAVERA, marca Poett, 360 cc."
CIP-0818,POETT DES. AMB AEROSOL 360CC - SOLO PARA TI,"Aromatizante de ambientes POETT DES. AMB AEROSOL 360CC - SOLO PARA TI, marca Poett, 360 cc."
CIP-0828,RAID 4 TOQUES SIN OLOR,"Insecticida RAID 4 TOQUES SIN OLOR, marca Raid, línea Ciprés Limpieza, Villa Constitución."
CIP-0829,RAID 45 NOCHES APARATO,"Insecticida RAID 45 NOCHES APARATO, marca Raid, línea Ciprés Limpieza, Villa Constitución."
CIP-0830,RAID 45 NOCHES REPUESTO,"Insecticida RAID 45 NOCHES REPUESTO, marca Raid, línea Ciprés Limpieza, Villa Constitución."
CIP-0831,RAID AZUL MMM 360CC,"Insecticida RAID AZUL MMM 360CC, marca Raid, 360 cc, línea Ciprés Limpieza, Villa Constitución."
CIP-0832,RAID CASA JARDIN 390CC,"Insecticida RAID CASA JARDIN 390CC, marca Raid, 390 cc, línea Ciprés Limpieza, Villa Constitución."
CIP-0833,RAID ESPIRALES COUNTRY X 12,"Insecticida RAID ESPIRALES COUNTRY X 12, marca Raid, línea Ciprés Limpieza, Villa Constitución."
CIP-0834,RAID ESPIRALES X 12,"Insecticida RAID ESPIRALES X 12, marca Raid, línea Ciprés Limpieza, Villa Constitución."
CIP-0835,RAID ESPIRALES X 4,"Insecticida RAID ESPIRALES X 4, marca Raid, línea Ciprés Limpieza, Villa Constitución."
CIP-0836,RAID ESSENTIALS CASA Y JARDIN,"Insecticida RAID ESSENTIALS CASA Y JARDIN, marca Raid, línea Ciprés Limpieza, Villa Constitución."
CIP-0837,RAID JERINGA MATA CUCARACHAS,"Insecticida RAID JERINGA MATA CUCARACHAS, marca Raid, línea Ciprés Limpieza, Villa Constitución."
CIP-0838,RAID MATA POLILLAS Y LARVAS,"Insecticida RAID MATA POLILLAS Y LARVAS, marca Raid, línea Ciprés Limpieza, Villa Constitución."
CIP-0839,RAID MATA PULGAS Y GARRAPATAS,"Insecticida RAID MATA PULGAS Y GARRAPATAS, marca Raid, línea Ciprés Limpieza, Villa Constitución."
CIP-0840,RAID MAX CEBOS CUCARACHA X 6,"Insecticida RAID MAX CEBOS CUCARACHA X 6, marca Raid, línea Ciprés Limpieza, Villa Constitución."
CIP-0841,RAID MAX CUCARACHAS Y ARAÑAS SIN OLOR,"Insecticida RAID MAX CUCARACHAS Y ARAÑAS SIN OLOR, marca Raid."
CIP-0842,RAID MAX HORMIGAS AERO 360CC,"Insecticida RAID MAX HORMIGAS AERO 360CC, marca Raid, 360 cc."
CIP-0843,RAID MAX MMM DOBLE ACCION,"Insecticida RAID MAX MMM DOBLE ACCION, marca Raid, línea Ciprés Limpieza, Villa Constitución."
CIP-0844,RAID MMM SIN OLOR - MMM,"Insecticida RAID MMM SIN OLOR - MMM, marca Raid, línea Ciprés Limpieza, Villa Constitución."
CIP-0846,RAID TABLETA 12 U,"Insecticida RAID TABLETA 12 U, marca Raid, x12 unidades por bulto."
CIP-0847,RAID TABLETA 24 U,"Insecticida RAID TABLETA 24 U, marca Raid, x24 unidades por bulto."
CIP-0848,RAID TABLETA APARATO,"Insecticida RAID TABLETA APARATO, marca Raid, línea Ciprés Limpieza, Villa Constitución."
CIP-0850,SACAHOJAS PLANO C/PALA 19MM VULCANO,"Producto para pileta SACAHOJAS PLANO C/PALA 19MM VULCANO, marca Vulcano, 19 mm."
CIP-0851,SACAHOJAS PLANO CON PALA 32MM VULCANO,"Producto para pileta SACAHOJAS PLANO CON PALA 32MM VULCANO, marca Vulcano, 32 mm."
