product_code,nombre,precio_lista_1,stock,unidades_por_bulto,unidad_minima_de_venta,umv_tipo,categoria_1,categoria_2,categoria_3,categoria_4,aliases,rotacion_index,mental_priority,descripcion,image_url,en_catalogo,is_mock,fuente_hoja,marca,precio_tiendanube,barcode
6048,Péptidos Neocell Super Collagen Bovino De Hierba 390 Grs,58003.98,0,1,unidad,unidad,Suplementos,Nutricionales,Colágeno,,Péptidos Neocell Super Collagen Bovino De Hierba 390 Grs|NeoCell|NeoCell Péptidos Super Collagen Bovino De Hierba 390 Grs|6048|390 Grs,0.185,0.185,"Péptidos Neocell Super Collagen Bovino De Hierba 390 Grs, nutricionales.",,true,false,tiendanube,NeoCell,96673.30,016185132559
6030,Extracto Raíz De Gengibre Nature's Truth 100 Cápsulas,17291.11,50,1,unidad,unidad,Suplementos,Nutricionales,Herbales,,Extracto Raíz De Gengibre Nature's Truth 100 Cápsulas|Nature's Truth|Nature's Truth Extracto Raíz De Gengibre 100 Cápsulas|6030|100 Cápsulas|vegano|vegana|plant based,0.279,0.279,"Extracto Raíz De Gengibre Nature's Truth 100 Cápsulas, nutricionales, suplemento.",,true,false,tiendanube,Nature's Truth,28818.52,840093105288
6028,"Calcio, Magnesio Y Zinc Sundance X 100 Tabletas Origen Usa",13500.54,87,1,unidad,unidad,Suplementos,Nutricionales,Vitaminas y Minerales,,"Calcio, Magnesio Y Zinc Sundance X 100 Tabletas Origen Usa|Sundance|Sundance Calcio, Magnesio Y Zinc X 100 Tabletas Origen Usa|6028",0.264,0.264,"Calcio, Magnesio Y Zinc Sundance X 100 Tabletas Origen Usa, nutricionales.",,true,false,tiendanube,Sundance,22500.90,840093102805
6026,Jugo Aloe Vera Nature's Truth 946ml Sin Azúcar Eeuu,30027.21,18,1,unidad,unidad,Suplementos,Nutricionales,Suplementos Alimenticios,,Jugo Aloe Vera Nature's Truth 946ml Sin Azúcar Eeuu|Nature's Truth|Nature's Truth Jugo Aloe Vera 946ml Sin Azúcar Eeuu|6026|946ml|vegano|vegana|plant based|organico,0.279,0.279,"Jugo Aloe Vera Nature's Truth 946ml Sin Azúcar Eeuu, nutricionales.",,true,false,tiendanube,Nature's Truth,50045.35,840093103703
6157,Chía Crinway Reduce Colesterol 30 Ampollas Bebibles P15 Días,8398.68,30,1,unidad,unidad,Suplementos,Nutricionales,Suplementos Alimenticios,,Chía Crinway Reduce Colesterol 30 Ampollas Bebibles P15 Días|Crinway|Crinway Chía Reduce Colesterol 30 Ampollas Bebibles P15 Días|6157|sin tacc|sin gluten|sin t.a.c.c.|vegano|vegana|plant based,0.200,0.200,"Chía Crinway Reduce Colesterol 30 Ampollas Bebibles P15 Días, nutricionales.",,true,false,tiendanube,Crinway,13997.80,
6143,Quinoa Bebible Victrin Crinway 5 Unidades De 5 Ml,3966.12,54,1,unidad,unidad,Suplementos,Nutricionales,Vitaminas y Minerales,,Quinoa Bebible Victrin Crinway 5 Unidades De 5 Ml|Crinway|Crinway Quinoa Bebible Victrin 5 Unidades De 5 Ml|6143|5 Unidades,0.200,0.200,"Quinoa Bebible Victrin Crinway 5 Unidades De 5 Ml, nutricionales.",,true,false,tiendanube,Crinway,6610.20,0721450779994
6190,Jabon Vegetal Sri Sri Jazmin Y Vitamina E 100g,3981.73,15,1,unidad,unidad,Belleza y Cuidado Personal,Higiene Personal,Jabones,,Jabon Vegetal Sri Sri Jazmin Y Vitamina E 100g|Sri Sri|Sri Sri Jabon Vegetal Jazmin Y Vitamina E 100g|6190|100g|vegano|vegana|plant based,0.185,0.185,"Jabon Vegetal Sri Sri Jazmin Y Vitamina E 100g, higiene personal.",,true,false,tiendanube,Sri Sri,6636.21,8904150190128
6051,Cúrcuma Y Curcumina Nature's Truth 70 Gomitas Sabor Durazno,32435.52,20,1,unidad,unidad,Suplementos,Nutricionales,Suplementos Alimenticios,,Cúrcuma Y Curcumina Nature's Truth 70 Gomitas Sabor Durazno|Nature's Truth|Nature's Truth Cúrcuma Y Curcumina 70 Gomitas Sabor Durazno|6051|70 G|sin tacc|sin gluten|sin t.a.c.c.|vegano|vegana|plant based,0.279,0.279,"Cúrcuma Y Curcumina Nature's Truth 70 Gomitas Sabor Durazno, nutricionales.",,true,false,tiendanube,Nature's Truth,54059.20,840093113764
6050,Magnesio 250mg Sundance 100 Capsulas Sin Sabor,15013.60,24,1,unidad,unidad,Suplementos,Nutricionales,Magnesio,,Magnesio 250mg Sundance 100 Capsulas Sin Sabor|Sundance|Sundance Magnesio 250mg 100 Capsulas Sin Sabor|6050|100 Capsulas,0.264,0.264,"Magnesio 250mg Sundance 100 Capsulas Sin Sabor, nutricionales, suplemento de magnesio.",,true,false,tiendanube,Sundance,25022.67,840093102584
6049,Magnesio 200mg Sabor Limón Frambuesa Nature's Truth 60gomita,26911.38,80,1,unidad,unidad,Suplementos,Nutricionales,Magnesio,,Magnesio 200mg Sabor Limón Frambuesa Nature's Truth 60gomita|Nature's Truth|Nature's Truth Magnesio 200mg Sabor Limón Frambuesa 60gomita|6049|60g|vegano|vegana|plant based,0.279,0.279,"Magnesio 200mg Sabor Limón Frambuesa Nature's Truth 60gomita, nutricionales, suplemento de magnesio.",,true,false,tiendanube,Nature's Truth,44852.30,840093116604
