product_code,articulo,grupo,marca,contador,cantidad,rotacion_raw,rotacion_index,margen_pct,margen_normalizado,clase_ab,interpretacion,ventas_neto,costo,en_catalogo
10094,SINFONIA DDL 1X100GRS GAONA,#19 GALLETITAS,GAONA,41,429.0,0.095571,0.0637,0.2974,1.0,B,baja rotación / alta rentabilidad,284886.7,200175.46,si
10095,MAGDALENA BICOLOR 1X200GRS GAONA,#19 GALLETITAS,GAONA,61,248.0,0.245968,0.2194,0.298,1.0,B,baja rotación / alta rentabilidad,377797.6,265223.6,si
10096,MAGDALENA CHOCO RELL. DDL 1X215GRS GAONA,#19 GALLETITAS,GAONA,65,216.0,0.300926,0.2763,0.2998,1.0,B,baja rotación / alta rentabilidad,327088.87,229042.32,si
10097,MAGDALENA (CLASICA) VAINILLA 1X200GRS GAONA,#19 GALLETITAS,GAONA,125,530.0,0.235849,0.2089,0.2994,1.0,B,baja rotación / alta rentabilidad,794398.88,556594.34,si
10098,MAGDALENA COCO RELL. DDL 1X215GRS GAONA,#19 GALLETITAS,GAONA,88,302.0,0.291391,0.2664,0.3002,1.0,B,baja rotación / alta rentabilidad,453595.12,317447.06,si
10099,MAGDALENA FIESTA CHOCO 1X200GRS GAONA,#19 GALLETITAS,GAONA,15,49.0,0.306122,0.2817,0.3005,1.0,B,baja rotación / alta rentabilidad,74917.39,52403.05,si
10100,MAGDALENA FIESTA VAINILLA 1X200GRS GAONA,#19 GALLETITAS,GAONA,21,62.0,0.33871,0.3154,0.3,1.0,B,baja rotación / alta rentabilidad,94716.99,66305.9,si
10101,MAGDALENA LIMON 1X200GRS GAONA,#19 GALLETITAS,GAONA,8,20.0,0.4,0.3789,0.2988,1.0,A,alta rotación / baja rentabilidad,30502.07,21389.0,si
10102,MAGDALENA RELL. FRUTILLA 1X215GRS GAONA,#19 GALLETITAS,GAONA,85,378.0,0.224868,0.1976,0.3,1.0,B,baja rotación / alta rentabilidad,571926.56,400334.34,si
10105,MAGDALENA VAINILLA RELL. DDL 1X200GRS GAONA,#19 GALLETITAS,GAONA,136,672.0,0.202381,0.1743,0.2991,1.0,B,baja rotación / alta rentabilidad,1017462.99,713143.56,si
10106,MAGDALENA VAINILLA RELL. CHOCOLATE 1X200GRS GAONA,#19 GALLETITAS,GAONA,56,190.0,0.294737,0.2699,0.2997,1.0,B,baja rotación / alta rentabilidad,285556.63,199977.34,si
10107,MINI BUDINES VAINILLA 1X180GRS GAONA,#19 GALLETITAS,GAONA,23,76.0,0.302632,0.2781,0.3001,1.0,B,baja rotación / alta rentabilidad,116121.93,81278.2,si
10108,MINI BUDIN VAINILLA C/DDL 1X180GRS GAONA,#19 GALLETITAS,GAONA,27,98.0,0.27551,0.25,0.2998,1.0,B,baja rotación / alta rentabilidad,149681.88,104806.1,si
10109,BIZCOCHO AZUCARADO 1X180GRS GAONA,#19 GALLETITAS,GAONA,173,1352.0,0.127959,0.0972,0.2996,1.0,B,baja rotación / alta rentabilidad,936823.95,656174.91,si
