codigo,codigo_secundario,descripcion_larga,division,rubro,um_ventas,cant_minima_venta,um_compras,um_precio_sugerido,bu_un,bu_di,di_un,un_bu,hi_bu,pa_hi,pa_bu
0290,0290,092 - S.MEDITERRANEA 12X350,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0291,0291,093 - S.A/MELANZANE 12X350,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0292,0292,097 - SALSA BOLOGNESA 12X350,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0293,0293,102 - SALSA MARINERA 12X350,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0294,0294,031 - PULPA TOM.T/B 24X380,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,24,24,1,0.041666667,1,,1
0295,0295,038 - PULPA TOM.T/B 48X380,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,48,48,1,0.020833333,1,,1
0296,0296,PULPA TOMATE LC 12 X 520 GRS,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,15,,180
0298,0298,047 - PULPA TOM.T/B 36X520,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,36,36,1,0.027777778,1,,1
0299,0299,PURE TOMATE LC 12X520 GRS,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,1,BU,UN,12,12,1,0.083333333,15,,180
0300,0300,048 - PURE TOM T/B 36X520,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,36,36,1,0.027777778,1,,1
0301,0301,034 - PURE TOM.T/B 24X380,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,24,24,1,0.041666667,1,,1
0302,0302,042 - PURE TOMA.BRIK 48X380,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,48,48,1,0.020833333,1,,1
0303,0303,058 - OF.6X3 2PURE 520+1X520,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,6,6,1,0.166666667,1,,1
0304,0304,019 - PURE TOM.L/VEND.12X500,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0305,0305,030 - PURE TOM.L/VEND.24X380,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,24,24,1,0.041666667,1,,1
0306,0306,017 - PURE TOM.L/CUY 12X500,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0307,0307,007 - JUGO TOM.T/B 24X380,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,24,24,1,0.041666667,1,,1
0308,0308,072 - ARVEJA VER.PEQ.12X350,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
